,name,label,result
4,Wilmer Diaz-------------,1,"tensor([[-2.0068,  2.2747]])"
9,Nathaniel Smith---------,1,"tensor([[-1.9508,  2.2316]])"
13,Tyler Roninson----------,1,"tensor([[-1.8743,  2.1256]])"
15,Kim Brown---------------,1,"tensor([[-1.9840,  2.2446]])"
16,Clyde Davis-------------,1,"tensor([[-1.9921,  2.2459]])"
21,Michael Dejean----------,1,"tensor([[-1.6408,  1.8873]])"
22,Brittany Thejawn--------,1,"tensor([[-1.9055,  2.1491]])"
26,Don Bishop--------------,1,"tensor([[-1.9995,  2.2563]])"
28,Jordyn Glaspie----------,1,"tensor([[-1.9777,  2.2250]])"
31,Byron Jones-------------,1,"tensor([[-1.9815,  2.2445]])"
32,Caden Stiles------------,1,"tensor([[-1.9743,  2.2341]])"
38,Triston Thompson--------,1,"tensor([[-1.8090,  2.0544]])"
41,Mary Riddle-------------,1,"tensor([[-2.0047,  2.2471]])"
44,Traylin Whiten----------,1,"tensor([[-1.9725,  2.2276]])"
52,Jessica Williams--------,1,"tensor([[-1.9557,  2.2075]])"
69,Rockey Bawa-------------,1,"tensor([[-1.9592,  2.2234]])"
75,Evelyn Larsen-----------,1,"tensor([[-1.9487,  2.1978]])"
77,John Johnson------------,1,"tensor([[-1.9972,  2.2514]])"
78,Kripy Chip--------------,1,"tensor([[-2.0053,  2.2623]])"
81,Codyy London------------,1,"tensor([[-1.9686,  2.2235]])"
84,Ashley Parker-----------,1,"tensor([[-1.7849,  2.0444]])"
86,Thaw Unsafe-------------,1,"tensor([[-2.0072,  2.2767]])"
93,Aman Kkc----------------,1,"tensor([[-1.8622,  2.1270]])"
96,Ryan Aliya--------------,1,"tensor([[-2.0299,  2.2557]])"
100,Becca Smith-------------,1,"tensor([[-1.9768,  2.2549]])"
112,Trudy Martina-----------,1,"tensor([[-1.9762,  2.2349]])"
114,Kennedy Smith-----------,1,"tensor([[-1.9708,  2.2504]])"
120,Dham Sa-----------------,1,"tensor([[-2.0163,  2.2848]])"
125,Jessica Jenkins---------,1,"tensor([[-1.8802,  2.1318]])"
127,Chardi Williams---------,1,"tensor([[-1.9500,  2.1961]])"
128,Md Rakib----------------,1,"tensor([[-2.0055,  2.2611]])"
174,Aml S As----------------,1,"tensor([[-2.0086,  2.2716]])"
175,Trey Condon-------------,1,"tensor([[-1.8429,  2.1018]])"
179,Millie Hale-------------,1,"tensor([[-1.9379,  2.2037]])"
182,Myria Williams----------,1,"tensor([[-1.9910,  2.2382]])"
196,Cory Steps--------------,1,"tensor([[-2.0019,  2.2583]])"
200,Hussy Khan--------------,1,"tensor([[-2.0204,  2.2676]])"
203,Johnathon Vallery-------,1,"tensor([[-1.8316,  2.0781]])"
208,Jalil Franklin----------,1,"tensor([[-1.9782,  2.2263]])"
209,Rony Cambrian-----------,1,"tensor([[-1.9784,  2.2311]])"
210,Judy Mills--------------,1,"tensor([[-2.0027,  2.2617]])"
218,Dray Holden-------------,1,"tensor([[-2.0004,  2.2434]])"
230,Minnie Andrew-----------,1,"tensor([[-1.5424,  1.8218]])"
236,Scott Mcgovern----------,1,"tensor([[-1.9391,  2.1838]])"
237,William Ozuna-----------,1,"tensor([[-1.9951,  2.2508]])"
239,Russell Johnsob---------,1,"tensor([[-1.9448,  2.1950]])"
240,Kathy Cazares-----------,1,"tensor([[-1.9649,  2.2241]])"
244,Wendell Octave----------,1,"tensor([[-1.9593,  2.2231]])"
248,Helen Banks-------------,1,"tensor([[-1.9875,  2.2332]])"
251,Crystal Ward------------,1,"tensor([[-2.0052,  2.2525]])"
258,Ashley Shantell---------,1,"tensor([[-1.9504,  2.2021]])"
259,Kay Ash-----------------,1,"tensor([[-2.0164,  2.2690]])"
262,Jon Paris---------------,1,"tensor([[-2.0072,  2.2583]])"
269,Ashley Nelson-----------,1,"tensor([[-1.9340,  2.1891]])"
274,Weston Watts------------,1,"tensor([[-1.9886,  2.2596]])"
280,Biktad Wmdwbk-----------,1,"tensor([[-1.8931,  2.1547]])"
286,Montrel Bowman----------,1,"tensor([[-1.8848,  2.1305]])"
288,Shyrn Troxell-----------,1,"tensor([[-2.0022,  2.2502]])"
292,Dtorian Roach-----------,1,"tensor([[-1.9868,  2.2597]])"
294,Anthony Kahn------------,1,"tensor([[-1.9989,  2.2544]])"
297,Tyran Jackson-----------,1,"tensor([[-1.9817,  2.2343]])"
299,John Quattlebaum--------,1,"tensor([[-1.8295,  2.0760]])"
304,Kim Main----------------,1,"tensor([[-1.9765,  2.2295]])"
307,Dillion Caine-----------,1,"tensor([[-1.7615,  2.0138]])"
310,Jeremy Miller-----------,1,"tensor([[-1.9729,  2.2111]])"
311,Rylie Hebert------------,1,"tensor([[-1.7869,  2.0499]])"
312,Rosalind Williams-------,1,"tensor([[-1.8545,  2.0988]])"
313,Chris Weber-------------,1,"tensor([[-1.9770,  2.2378]])"
315,Brian Mock--------------,1,"tensor([[-1.9609,  2.2175]])"
319,Allen Capell------------,1,"tensor([[-1.9535,  2.2073]])"
327,Joyce Wheelock----------,1,"tensor([[-1.6890,  1.9465]])"
331,Jessica Williams--------,1,"tensor([[-1.9557,  2.2075]])"
333,Trevon Matthews---------,1,"tensor([[-1.5228,  1.8126]])"
336,Willard Williams--------,1,"tensor([[-1.9573,  2.2045]])"
345,Jill Crane--------------,1,"tensor([[-2.0036,  2.2628]])"
346,Johnathan Evans---------,1,"tensor([[-2.0027,  2.2386]])"
348,Kblack Mazone-----------,1,"tensor([[-1.9703,  2.2265]])"
355,Cory Richard------------,1,"tensor([[-1.9992,  2.2513]])"
361,Brent Johnson-----------,1,"tensor([[-1.9471,  2.2036]])"
364,Terry Jones-------------,1,"tensor([[-1.9854,  2.2481]])"
365,Nettie Brown------------,1,"tensor([[-1.6823,  1.9508]])"
367,Dez Hilliard------------,1,"tensor([[-1.9814,  2.2247]])"
