,name,label,result
1,Takae Tajima------------,1,"tensor([[-2.6220,  2.7069]])"
2,Zubair Zubi-------------,1,"tensor([[-2.4732,  2.5254]])"
3,Yoshiki Kakuta----------,1,"tensor([[-2.5562,  2.6213]])"
11,Kazuhiko Obayashi-------,1,"tensor([[-2.3302,  2.3485]])"
12,Emilia Mbaki------------,1,"tensor([[-2.3695,  2.3963]])"
14,Smmit Tara--------------,1,"tensor([[-2.4550,  2.5101]])"
18,Sadahide Yamashita------,1,"tensor([[-1.8783,  1.8427]])"
20,Kagiwata Noriaki--------,1,"tensor([[-2.4564,  2.4958]])"
23,Patricia Yamauchi-------,1,"tensor([[-1.8723,  1.8101]])"
26,Yumiko Hiratsuka--------,1,"tensor([[-2.5606,  2.6299]])"
27,Suyanti Widjaja---------,1,"tensor([[-2.4741,  2.5292]])"
32,Nami Yamashita----------,1,"tensor([[-2.4190,  2.4488]])"
33,Miki Nakamura-----------,1,"tensor([[-2.6135,  2.6964]])"
34,Harumi Aida-------------,1,"tensor([[-2.6035,  2.6862]])"
39,Minoru Matayoshi--------,1,"tensor([[-2.2137,  2.2007]])"
41,Kenta Obata-------------,1,"tensor([[-2.4952,  2.5550]])"
53,Ikponmwosa Osifo--------,1,"tensor([[-1.9794,  1.9255]])"
78,Hinako Suzuki-----------,1,"tensor([[-2.5752,  2.6383]])"
81,Nivedita Kumari---------,1,"tensor([[-2.2806,  2.2731]])"
83,Masaki Hayashi----------,1,"tensor([[-2.2004,  2.1800]])"
85,Shinichi Kurotaki-------,1,"tensor([[-2.3152,  2.3287]])"
87,Koko Sato---------------,1,"tensor([[-2.6322,  2.7272]])"
88,Miho Honda--------------,1,"tensor([[-2.0472,  2.0041]])"
90,Haruna Naganuma---------,1,"tensor([[-2.5713,  2.6332]])"
95,Shigetaka Mochizuki-----,1,"tensor([[-1.8420,  1.8050]])"
96,Khushi Basu-------------,1,"tensor([[-2.5629,  2.6282]])"
97,Luana Oshiro------------,1,"tensor([[-2.0670,  2.0220]])"
98,Masataka Tonouchi-------,1,"tensor([[-2.1204,  2.0876]])"
101,Toshiaki Sakurai--------,1,"tensor([[-2.4592,  2.4994]])"
102,Kaori Yokoiwa-----------,1,"tensor([[-2.5238,  2.5834]])"
104,Ippei Shobayashi--------,1,"tensor([[-2.0148,  1.9717]])"
107,Chihe Yamakoshi---------,1,"tensor([[-2.0730,  2.0304]])"
110,Yuko Masuda-------------,1,"tensor([[-2.6375,  2.7299]])"
111,Hinako Yoshida----------,1,"tensor([[-2.4691,  2.5104]])"
113,Saki Kurihara-----------,1,"tensor([[-2.4272,  2.4656]])"
115,Hideyuki Sato-----------,1,"tensor([[-2.4993,  2.5553]])"
116,Babar Ahmad-------------,1,"tensor([[-2.2974,  2.3092]])"
117,Hikaru Sato-------------,1,"tensor([[-2.6117,  2.6986]])"
120,Izumi Yamada------------,1,"tensor([[-2.6355,  2.7302]])"
122,Hideki Onishi-----------,1,"tensor([[-2.0981,  2.0544]])"
127,Oshiro Tomio------------,1,"tensor([[-2.4519,  2.4959]])"
129,Kaoru Tsuchiya----------,1,"tensor([[-2.5867,  2.6611]])"
134,Masumi Ito--------------,1,"tensor([[-2.6385,  2.7339]])"
136,Reiko Sakanoue----------,1,"tensor([[-2.4778,  2.5176]])"
140,Masahiko Doi------------,1,"tensor([[-2.2207,  2.2133]])"
142,Yuko Nagata-------------,1,"tensor([[-2.6663,  2.7808]])"
144,Hisaya Kunita-----------,1,"tensor([[-2.3611,  2.3794]])"
145,Sano Yutaka-------------,1,"tensor([[-2.6364,  2.7313]])"
149,Masaru Takahashi--------,1,"tensor([[-2.2628,  2.2587]])"
152,Sumiko Nishimura--------,1,"tensor([[-2.5282,  2.5830]])"
153,Mari Sato---------------,1,"tensor([[-2.3354,  2.3679]])"
154,Yukinori Kamiya---------,1,"tensor([[-2.2471,  2.2407]])"
156,Yumi Saigusa------------,1,"tensor([[-2.4580,  2.5046]])"
162,Hiro Takeda-------------,1,"tensor([[-2.2702,  2.2796]])"
164,Mitsuei Kodama----------,1,"tensor([[-2.5635,  2.6298]])"
167,Makoto Nagano-----------,1,"tensor([[-2.6316,  2.7320]])"
170,Sugiyama Toshiko--------,1,"tensor([[-2.4255,  2.4545]])"
171,Minoru Masuda-----------,1,"tensor([[-2.5864,  2.6588]])"
173,Roman Nagakubo----------,1,"tensor([[-2.5086,  2.5593]])"
174,Miyuki Yamamoto---------,1,"tensor([[-2.5207,  2.5760]])"
176,Yuiko Kikuchi-----------,1,"tensor([[-2.4665,  2.4990]])"
179,Hitomi Tsuchida---------,1,"tensor([[-2.5530,  2.6146]])"
185,Mitsuaki Koumei---------,1,"tensor([[-2.4080,  2.4214]])"
192,Hiroyuki Nozawa---------,1,"tensor([[-2.1560,  2.1349]])"
194,Cia Mo------------------,1,"tensor([[-2.3679,  2.4147]])"
196,Takumi Matsuo-----------,1,"tensor([[-2.5856,  2.6561]])"
197,Ken Nishiwaki-----------,1,"tensor([[-1.9824,  1.9198]])"
198,Hirotaka Saito----------,1,"tensor([[-2.5991,  2.6835]])"
202,Daisuke Kashiki---------,1,"tensor([[-2.4381,  2.4635]])"
203,Hiroyuki Ando-----------,1,"tensor([[-2.0357,  1.9857]])"
204,Yasuharu Fukushima------,1,"tensor([[-2.3650,  2.3845]])"
206,Daichi Sasaki-----------,1,"tensor([[-2.2625,  2.2589]])"
208,Tatsuo Abe--------------,1,"tensor([[-2.4953,  2.5599]])"
209,Ric Kaka----------------,1,"tensor([[-2.0895,  2.0624]])"
211,Masatoshi Oka-----------,1,"tensor([[-2.5460,  2.6100]])"
214,Josue Miyashiro---------,1,"tensor([[-1.9914,  1.9376]])"
215,Takaki Yasuda-----------,1,"tensor([[-2.6252,  2.7128]])"
217,Katia Higa--------------,1,"tensor([[-2.4955,  2.5588]])"
219,Hiroshi Ota-------------,1,"tensor([[-2.2608,  2.2660]])"
221,Yukio Konishi-----------,1,"tensor([[-2.3239,  2.3298]])"
223,Yamada Kiyohide---------,1,"tensor([[-1.9015,  1.8298]])"
225,Lenmoniq Suganuma-------,1,"tensor([[-2.0113,  1.9678]])"
226,Naoko Kobayashi---------,1,"tensor([[-2.5730,  2.6452]])"
232,Machiko Todo------------,1,"tensor([[-2.5198,  2.5816]])"
233,Kouichi Harada----------,1,"tensor([[-2.5266,  2.5904]])"
240,Yuki Omata--------------,1,"tensor([[-2.6467,  2.7447]])"
241,Takashi Murata----------,1,"tensor([[-2.5650,  2.6379]])"
242,Shimada Fumiko----------,1,"tensor([[-2.6246,  2.7085]])"
243,Hiroaki Matsunaga-------,1,"tensor([[-2.3253,  2.3554]])"
244,Yasushi Kawashima-------,1,"tensor([[-2.2745,  2.2704]])"
247,Futaba Sato-------------,1,"tensor([[-2.6547,  2.7606]])"
250,Akita Sakurai-----------,1,"tensor([[-2.5650,  2.6327]])"
251,Hideki Nara-------------,1,"tensor([[-2.4960,  2.5571]])"
257,Kiyoshi Takagi----------,1,"tensor([[-2.5221,  2.5803]])"
258,Keiichi Yamamoto--------,1,"tensor([[-2.4351,  2.4683]])"
261,Shuntaro Saito----------,1,"tensor([[-2.3178,  2.3282]])"
265,Kenji Hashimoto---------,1,"tensor([[-2.4048,  2.4281]])"
271,Naruto Satake-----------,1,"tensor([[-2.6086,  2.6939]])"
272,Sophie Rondonuwu--------,1,"tensor([[-2.2658,  2.2532]])"
273,Takeshi Takakura--------,1,"tensor([[-2.5082,  2.5670]])"
274,Junko Miyagawa----------,1,"tensor([[-2.3745,  2.3992]])"
276,Mika Nakamura-----------,1,"tensor([[-2.6301,  2.7197]])"
281,Tsuyoshi Imaki----------,1,"tensor([[-2.4829,  2.5252]])"
283,Toriumi Toriumi---------,1,"tensor([[-2.5172,  2.5540]])"
284,Minami Amagasa----------,1,"tensor([[-2.3858,  2.4141]])"
288,Yuichiro Terao----------,1,"tensor([[-2.2781,  2.2821]])"
292,Noriaki Harada----------,1,"tensor([[-2.5896,  2.6742]])"
295,Mini Taka---------------,1,"tensor([[-2.5936,  2.6778]])"
299,Yoshida Mitsushi--------,1,"tensor([[-2.3102,  2.3081]])"
304,Ttm F Mitsu-------------,1,"tensor([[-2.2970,  2.2988]])"
306,Mariko Kosaka-----------,1,"tensor([[-2.5848,  2.6632]])"
308,Yoko Uda----------------,1,"tensor([[-2.6093,  2.6974]])"
310,Talita Yuri-------------,1,"tensor([[-1.9924,  1.9311]])"
311,Katsumaro Suzuki--------,1,"tensor([[-2.5157,  2.5593]])"
314,Fumi Nakajima-----------,1,"tensor([[-2.6590,  2.7638]])"
316,Shiori Hayakawa---------,1,"tensor([[-2.4263,  2.4649]])"
320,Nina Luu----------------,1,"tensor([[-2.1402,  2.1196]])"
321,Yamaguchi Fatima--------,1,"tensor([[-2.3346,  2.3382]])"
326,Tossi Shimizu-----------,1,"tensor([[-2.3474,  2.3532]])"
328,Setsu Kono--------------,1,"tensor([[-2.3575,  2.3901]])"
331,Margarita Morita--------,1,"tensor([[-1.9497,  1.9007]])"
336,Kentaro Matsuoka--------,1,"tensor([[-2.3675,  2.3901]])"
340,Reika Maruyama----------,1,"tensor([[-2.4560,  2.4920]])"
341,Yuriko Arakaki----------,1,"tensor([[-2.6221,  2.7131]])"
344,Minoru Niimura----------,1,"tensor([[-2.5364,  2.5921]])"
347,Tomonori Tomatsu--------,1,"tensor([[-2.0490,  2.0094]])"
348,Shuhei Kato-------------,1,"tensor([[-2.5361,  2.6051]])"
350,Yumi Someya-------------,1,"tensor([[-2.5234,  2.5899]])"
353,Amelie Kojima-----------,1,"tensor([[-2.2596,  2.2516]])"
358,Hiroyoshi Takeda--------,1,"tensor([[-2.2733,  2.2782]])"
359,Sokyo Odake-------------,1,"tensor([[-2.5511,  2.6228]])"
361,Shirokuma San-----------,1,"tensor([[-2.0589,  2.0217]])"
363,Taka Shigahi------------,1,"tensor([[-2.2803,  2.2869]])"
364,Selma Kikumitsu---------,1,"tensor([[-2.3976,  2.4095]])"
365,Miura Takatsugu---------,1,"tensor([[-2.4831,  2.5166]])"
367,Shiro Takabatake--------,1,"tensor([[-2.5557,  2.6304]])"
368,Kengo Okamoto-----------,1,"tensor([[-2.3986,  2.4297]])"
370,Hiroe Tanioka-----------,1,"tensor([[-2.5157,  2.5734]])"
372,Takae Okamoto-----------,1,"tensor([[-2.6262,  2.7168]])"
374,Jutaro Nagasaka---------,1,"tensor([[-2.6129,  2.7113]])"
375,Ryuichiro Fujii---------,1,"tensor([[-2.3958,  2.4116]])"
379,Matsubara Daisuke-------,1,"tensor([[-2.3502,  2.3583]])"
384,Takahiro Tohyama--------,1,"tensor([[-2.2110,  2.1981]])"
385,Natsuko Okamura---------,1,"tensor([[-2.6019,  2.6816]])"
386,Masaki Taoka------------,1,"tensor([[-2.6417,  2.7414]])"
387,Kayo Ko-----------------,1,"tensor([[-2.3637,  2.4077]])"
388,Toyonari Miyamoto-------,1,"tensor([[-2.2339,  2.2298]])"
389,Yuuichi Hamamoto--------,1,"tensor([[-2.5331,  2.5936]])"
390,Taufiq Muhammad---------,1,"tensor([[-2.3309,  2.3296]])"
