,name,label,result
6,Hw Cho-----------------,1,"tensor([[-1.8500,  2.1365]])"
26,Yoon Mi Lym------------,1,"tensor([[-1.8464,  2.1317]])"
31,Susan -----------------,1,"tensor([[-1.6230,  1.8895]])"
35,Hwan Seo---------------,1,"tensor([[-1.7894,  2.0581]])"
40,Kyungyoon Song---------,1,"tensor([[-1.8081,  2.0743]])"
54,Panji Hay--------------,1,"tensor([[-1.7569,  2.0204]])"
65,Hyunki Yoon------------,1,"tensor([[-1.8330,  2.1104]])"
66,Shin Young Sung--------,1,"tensor([[-1.7302,  1.9882]])"
70,Hyun Lee---------------,1,"tensor([[-1.8506,  2.1376]])"
90,Jong Chan Yuk----------,1,"tensor([[-1.8150,  2.0912]])"
107,Jaekyun Park-----------,1,"tensor([[-1.7528,  2.0137]])"
117,Jiyong Kim-------------,1,"tensor([[-1.8020,  2.0705]])"
123,Jung Hoon Lee----------,1,"tensor([[-1.8107,  2.0806]])"
130,Jonghoon Kim-----------,1,"tensor([[-1.5920,  1.8137]])"
133,Injin Park-------------,1,"tensor([[-1.8447,  2.1275]])"
146,Jung Kwun--------------,1,"tensor([[-1.8337,  2.1139]])"
151,Youngsun Hong----------,1,"tensor([[-1.6285,  1.8565]])"
195,Mi Young Ruy-----------,1,"tensor([[-1.8086,  2.0731]])"
199,J Hee Kim--------------,1,"tensor([[-1.8380,  2.1181]])"
208,Sang-Hoon Kim----------,1,"tensor([[-1.6900,  1.9373]])"
217,Ann Tyoung-------------,1,"tensor([[-1.8340,  2.1127]])"
246,Hyun-Su Kim------------,1,"tensor([[-1.8424,  2.1261]])"
248,Hyejoon Park-----------,1,"tensor([[-1.7436,  1.9950]])"
266,Heung San Oh-----------,1,"tensor([[-1.8162,  2.0954]])"
269,Suk Hyun Jang----------,1,"tensor([[-1.8502,  2.1381]])"
285,Park Sun---------------,1,"tensor([[-1.8111,  2.0892]])"
296,Eunji Song-------------,1,"tensor([[-1.6873,  1.9341]])"
