,name,label,result
0,Paulo Costa De Fafe-----,1,"tensor([[-2.3562,  2.2875]])"
1,Mario Reis--------------,1,"tensor([[-2.0208,  2.3382]])"
2,Carlos Martins----------,1,"tensor([[-1.9206,  2.2233]])"
3,Sofia Sa Couto----------,1,"tensor([[-2.6263,  2.7317]])"
4,Nuno Figueiredo---------,1,"tensor([[-2.5869,  2.6748]])"
5,Bruno Conceicao---------,1,"tensor([[-2.5170,  2.6007]])"
6,Silva Silva-------------,1,"tensor([[-2.3112,  2.5546]])"
8,Miguel Costa------------,1,"tensor([[-2.5396,  2.6268]])"
9,Azevedo Azevedo---------,1,"tensor([[-2.5596,  2.6278]])"
11,Ana Cardoso-------------,1,"tensor([[-2.6366,  2.6920]])"
12,Guilherme Portada-------,1,"tensor([[-2.2028,  2.3711]])"
13,Igor Moreira------------,1,"tensor([[-1.5538,  1.8471]])"
14,Joao Figueiredo---------,1,"tensor([[-2.5567,  2.6837]])"
15,Daniela Soares----------,1,"tensor([[-2.4787,  2.6079]])"
16,Zezin Moura-------------,1,"tensor([[-1.9112,  2.2228]])"
18,Catarina Maciel---------,1,"tensor([[-2.6157,  2.7295]])"
19,Joana Fernandes---------,1,"tensor([[-1.9379,  2.2379]])"
20,Ricardo Maia------------,1,"tensor([[-1.8132,  2.1227]])"
21,Beatriz Nunes-----------,1,"tensor([[-1.9553,  2.2692]])"
23,Andre Santos------------,1,"tensor([[-1.5783,  1.8787]])"
25,Daniel Santos-----------,1,"tensor([[-1.8773,  2.1946]])"
26,Nuno Maria Pascoa-------,1,"tensor([[-2.4498,  2.5260]])"
27,Amilcar Lousada---------,1,"tensor([[-2.3888,  2.5146]])"
29,Agostinho Santos--------,1,"tensor([[-2.1813,  2.3920]])"
31,Salome Peralta----------,1,"tensor([[-1.9277,  2.2117]])"
34,Ana Agueda--------------,1,"tensor([[-1.8131,  2.1324]])"
35,Bruno Pereira-----------,1,"tensor([[-2.0832,  2.3669]])"
36,Pedro Cunha-------------,1,"tensor([[-2.3588,  2.5525]])"
37,Sandra Santana----------,1,"tensor([[-2.3393,  2.5028]])"
38,Helena Duraes-----------,1,"tensor([[-2.2147,  2.4803]])"
39,Mariana Tiago-----------,1,"tensor([[-2.1063,  2.4183]])"
40,Ismael Nunes------------,1,"tensor([[-1.6263,  1.9323]])"
41,Vasco Dias Marques------,1,"tensor([[-2.4298,  2.5753]])"
42,Maria Manuela Mendes----,1,"tensor([[-1.7550,  1.8325]])"
43,Rita Mastbaum-----------,1,"tensor([[-2.2799,  2.4631]])"
44,Jose Figueiredo---------,1,"tensor([[-1.5957,  1.8881]])"
45,Carlos Pereira----------,1,"tensor([[-1.7992,  2.0983]])"
46,Paulo Vitor-------------,1,"tensor([[-2.5730,  2.6406]])"
47,Rui Moreira-------------,1,"tensor([[-2.1702,  2.4600]])"
49,Sergio Moreira----------,1,"tensor([[-2.3211,  2.5146]])"
50,Marlene Queiros---------,1,"tensor([[-1.9451,  2.2249]])"
51,Marisa Meireles---------,1,"tensor([[-1.6617,  1.9582]])"
54,Jacinto Santos----------,1,"tensor([[-2.4092,  2.5638]])"
55,Joana Almeida-----------,1,"tensor([[-1.7892,  2.1039]])"
56,Luis Pinto--------------,1,"tensor([[-1.7376,  2.0564]])"
58,Antunes Fonseca---------,1,"tensor([[-1.7329,  2.0227]])"
59,Carolina Tuin Pronto----,1,"tensor([[-1.7900,  1.8297]])"
60,Daniela Duarte----------,1,"tensor([[-2.2998,  2.5295]])"
61,Ricardo Braga-----------,1,"tensor([[-2.3696,  2.5486]])"
64,Jose Vieira-------------,1,"tensor([[-1.6371,  1.9389]])"
65,Cristiana Sousa---------,1,"tensor([[-2.5550,  2.6582]])"
66,Sara Vasconcelos--------,1,"tensor([[-1.9259,  2.1927]])"
67,Claudia Guiomar---------,1,"tensor([[-2.5764,  2.6810]])"
69,Rute Marques------------,1,"tensor([[-1.5236,  1.8189]])"
70,Marisa Silva------------,1,"tensor([[-1.8328,  2.1557]])"
71,Rui Pacheco-------------,1,"tensor([[-1.5452,  1.8390]])"
73,Route Pva Araujo--------,1,"tensor([[-2.5692,  2.6818]])"
75,Fabiana Castro----------,1,"tensor([[-2.6078,  2.7089]])"
76,Nuno Pereira------------,1,"tensor([[-2.1281,  2.4118]])"
77,Carlos Fragoso----------,1,"tensor([[-2.6205,  2.6805]])"
78,Maria Santos------------,1,"tensor([[-2.0015,  2.3110]])"
79,Gustavo Pinto Lopes-----,1,"tensor([[-2.3551,  2.3946]])"
80,Anna Cuznetov-----------,1,"tensor([[-2.1283,  2.4280]])"
81,Sarinha Ventura---------,1,"tensor([[-1.7571,  2.0418]])"
84,Manu Mota---------------,1,"tensor([[-1.6238,  1.9213]])"
85,Miguel Goncalves--------,1,"tensor([[-1.9748,  2.2534]])"
86,Luisa Remartinez--------,1,"tensor([[-2.0515,  2.3029]])"
87,Claudia Roque-----------,1,"tensor([[-2.5465,  2.6629]])"
90,Marilia Goncalves-------,1,"tensor([[-1.9331,  2.1831]])"
94,Manu Lopes--------------,1,"tensor([[-1.5907,  1.8930]])"
96,Carlos Gomes------------,1,"tensor([[-1.8860,  2.2090]])"
98,Patricia Pacheco--------,1,"tensor([[-1.6129,  1.8937]])"
100,Rui Martins-------------,1,"tensor([[-1.9425,  2.2576]])"
102,Daniela Gomes-----------,1,"tensor([[-1.9084,  2.2262]])"
103,Ivo Sousa Nunes---------,1,"tensor([[-2.5457,  2.6588]])"
104,Joana Coelho------------,1,"tensor([[-2.2707,  2.5303]])"
105,Isabel Braga------------,1,"tensor([[-1.8186,  2.1348]])"
107,Pedro Felicio-----------,1,"tensor([[-2.0122,  2.3270]])"
108,Pereira Sousa-----------,1,"tensor([[-2.5739,  2.6666]])"
109,Diogo Almeida-----------,1,"tensor([[-1.8089,  2.1259]])"
112,Tiago Jose Ascensao-----,1,"tensor([[-1.9511,  2.0545]])"
113,Clauu Vieira------------,1,"tensor([[-2.5655,  2.6550]])"
115,Jose Macelos------------,1,"tensor([[-1.5960,  1.8962]])"
116,Leonor Anastacio--------,1,"tensor([[-1.8623,  2.1393]])"
117,Lurdes Ferreira---------,1,"tensor([[-1.6232,  1.9075]])"
118,Adao Coelho-------------,1,"tensor([[-2.6462,  2.6972]])"
119,Ana Rodrigues-----------,1,"tensor([[-1.8523,  2.1732]])"
121,Pequenos Genios---------,1,"tensor([[-1.8301,  2.1234]])"
122,Sandra De Oliveira------,1,"tensor([[-1.8085,  1.9854]])"
123,Rui Pereira-------------,1,"tensor([[-1.8302,  2.1447]])"
124,Nuno Santos-------------,1,"tensor([[-2.5784,  2.6726]])"
125,Antonio Barata----------,1,"tensor([[-2.6092,  2.7171]])"
126,Caterina Faustino-------,1,"tensor([[-2.5190,  2.6339]])"
127,Paulo Pereira-----------,1,"tensor([[-2.5284,  2.6209]])"
128,Gislenie Rodrigues------,1,"tensor([[-1.6016,  1.8132]])"
129,Barbara Da Silva--------,1,"tensor([[-2.5957,  2.6949]])"
130,Susete Gomes------------,1,"tensor([[-1.6277,  1.9340]])"
132,Paulo Carvalho----------,1,"tensor([[-2.5809,  2.6848]])"
133,Bordados Ana Pereira----,1,"tensor([[-2.0785,  2.1277]])"
134,Joana Costa-------------,1,"tensor([[-2.4930,  2.6047]])"
135,Ana Rita Henriques------,1,"tensor([[-1.7861,  1.9738]])"
137,Isabel Delgado----------,1,"tensor([[-1.6302,  1.9294]])"
138,Jose Azevedo Azevedo----,1,"tensor([[-2.1281,  2.1352]])"
139,Sofia Correia-----------,1,"tensor([[-2.4393,  2.5995]])"
142,Tania Silva-------------,1,"tensor([[-1.7666,  2.0854]])"
143,Raquel Mendes-----------,1,"tensor([[-1.9404,  2.2544]])"
146,Ines Figueiredo---------,1,"tensor([[-1.6768,  1.9767]])"
147,Luis Calado-------------,1,"tensor([[-2.4936,  2.5939]])"
149,Tiago Santos------------,1,"tensor([[-2.6081,  2.7053]])"
150,Dalia Ruivo-------------,1,"tensor([[-1.9983,  2.3236]])"
152,Daniela Monteiro--------,1,"tensor([[-1.6178,  1.9018]])"
155,Francisco Martins-------,1,"tensor([[-1.8395,  2.0746]])"
156,Reinaldo Goncalves------,1,"tensor([[-2.2984,  2.4372]])"
158,Catarina Soares Romao---,1,"tensor([[-2.2100,  2.0285]])"
159,Tiago Barbara-----------,1,"tensor([[-2.6193,  2.7156]])"
161,Fernanda Magalhaes------,1,"tensor([[-2.2898,  2.4202]])"
162,Magda Pereira-----------,1,"tensor([[-1.9553,  2.2568]])"
164,Silvia Neves------------,1,"tensor([[-1.7080,  2.0205]])"
165,Rosa Ribeiro------------,1,"tensor([[-2.0830,  2.3898]])"
167,Pedro Silva-------------,1,"tensor([[-2.2270,  2.5064]])"
168,Mariana Gouveia---------,1,"tensor([[-2.5809,  2.6815]])"
169,Tomas Teixeira----------,1,"tensor([[-2.4063,  2.5378]])"
170,Marco Santos------------,1,"tensor([[-2.1246,  2.4202]])"
173,Carla Melo--------------,1,"tensor([[-2.1165,  2.4279]])"
174,Isabel Marques----------,1,"tensor([[-1.8464,  2.1597]])"
175,Manuela Pinto Ribeiro---,1,"tensor([[-1.9553,  1.9131]])"
